Object_ID;class;height_cm;weight_kg;body fat_%;diastolic;systolic;gripforce;sit and bend forward_cm;sit-ups counts;broad jump_cm;age;gender
116;Common-C;164.3;61.18;22;78;145;43.3;18.6;47;209;25;1
117;Good-B;169.2;68.7;15.2;80;120;48.3;21.1;64;254;32;1
118;Common-C;169.1;56.1;22.6;77;120;26.3;31.3;24;162;21;0
119;Excellent-A;183.5;76.9;15.7;86;143;40.9;22.8;56;253;22;1
120;Good-B;156.9;46.9;23;98;155;20.5;16.5;38;155;22;0
121;Good-B;172.1;64.5;16.8;88;154;40.2;21.7;63;201;24;1
122;Excellent-A;178.2;75.1;15.9;59;129;49.2;16.7;55;229;27;1
123;Excellent-A;164.4;48.1;16.9;63;112;26.5;29.4;41;215;21;0
124;Poor-D;164.1;49.1;30.5;59;117;21.2;4.3;16;150;46;0
125;Excellent-A;162.2;51.7;29.2;83;118;29.7;23.7;44;183;29;0
126;Poor-D;162.7;51.7;19;76;110;32.6;21.4;59;200;23;0
127;Poor-D;177.9;67.2;15.8;63;112;36.6;13.7;25;183;51;1
128;Good-B;184.8;84.6;17.2;83;123;52.5;11.7;56;257;28;1
129;Common-C;164.7;44.3;26.7;80;130;22.3;12.5;25;130;23;0
130;Excellent-A;178.3;93.5;27.3;81;129;57;16.1;47;222;30;1
131;Excellent-A;160.1;51.7;30.7;71;126;25.7;21.1;47;159;25;0
132;Common-C;172.7;69.8;27.6;81;149;46.5;10;48;185;28;1
133;Common-C;178.3;73.2;23.4;93;132;42.7;11.7;46;208;22;1
134;Poor-D;167.7;72.7;29;90;148;36.3;6.1;37;180;51;1
135;Excellent-A;165.1;49.9;19.3;70;108;31.8;21.6;50;204;24;0
136;Excellent-A;160.3;47.8;19.5;60;111;27.3;28;37;173;27;0
137;Poor-D;153.2;62.2;37;71;111;25.7;3;0;58;61;0
138;Good-B;169.5;71.9;20.6;72;125;45.9;13;66;235;30;1
139;Common-C;180.2;73.3;20.4;95;140;53.7;26;41;211;42;1
140;Poor-D;180.3;91.7;32.1;75;134;28.6;-6.9;36;210;22;1
141;Common-C;164.7;62.5;31.4;77;121;23.2;14.7;41;165;23;0
142;Common-C;160.2;54.5;20.7;77;130;22.2;22.5;35;171;27;0
143;Good-B;167.9;70.7;25.3;75;135;47.3;16.2;53;181;29;1
144;Good-B;165.6;67.6;25.7;84;152;40.5;9.8;41;188;62;1
145;Poor-D;169.2;92.9;33.3;93;157;44.6;10.9;52;226;21;1
146;Common-C;184.1;74.7;12.6;94;141;49.5;13;49;243;25;1
147;Good-B;166.9;64.1;30.5;77;133;27.5;21.5;37;150;31;0
148;Common-C;175;66.4;16.5;77;124;39.4;13;54;248;21;1
149;Good-B;171.6;66.3;20.5;92;153;46;26.2;46;204;38;1
150;Common-C;178.1;64.2;29.2;55;102;29.9;14.6;27;126;23;0
151;Excellent-A;170.1;61.5;22;89;148;37.7;20.5;40;195;56;1
152;Poor-D;170.3;71;24.5;75;140;30.1;22;33;182;59;1
153;Excellent-A;164.4;54.3;21.7;61;109;27;31.7;44;186;23;0
154;Poor-D;170;75.5;30.4;77;127;39.6;10.2;29;186;52;1
155;Common-C;178;74.66;19;96;135;43.1;18.6;37;198;33;1
156;Good-B;154.9;51.6;24.1;85;132;25.3;19.4;31;165;58;0
157;Common-C;160.9;61.4;36.5;71;103;27.3;20.8;47;169;21;0
158;Good-B;176;72.86;18.6;78;155;39.7;10.1;53;231;27;1
159;Common-C;173.5;65.3;14.3;76;137;39.1;12.1;46;229;27;1
160;Common-C;163;62.3;32.9;75;131;33.3;12.2;44;167;21;0
161;Good-B;168.5;66;24.1;88;156;42.1;9.5;30;212;57;1
162;Excellent-A;166.7;52.84;15.2;74;125;30.7;29.7;48;186;29;0
163;Poor-D;170;70;20;73;137;34.2;8.5;36;219;45;1
164;Good-B;155.5;64.4;34.8;60;109;24.7;16.7;43;174;24;0
165;Good-B;163.9;52.5;19.6;89;151;25.4;18;26;171;50;0
166;Excellent-A;173;68.4;11.4;70;124;47.1;12.3;52;195;60;1
167;Good-B;163.7;63.9;23.3;93;144;42.7;25;29;211;62;1
168;Good-B;159.2;45.3;19.6;64;105;20.8;18.7;36;161;39;0
169;Excellent-A;162.2;60.4;27.1;74;115;34.9;22.6;37;148;22;0
170;Common-C;156.5;52.2;30.1;72;117;20.5;13.5;16;110;54;0
171;Common-C;167.2;68.5;28.2;75;112;39.2;7;31;195;48;1
172;Excellent-A;160.9;63.1;30.9;83;130;27.5;21.1;27;140;61;0
173;Excellent-A;172.5;76;23.1;86;154;47.3;16;41;206;60;1
174;Common-C;168.6;67.2;23.7;77;123;45;11.6;41;223;27;1
175;Excellent-A;162.5;51.4;22.5;91;143;26.9;26.3;36;174;40;0
176;Good-B;172.1;65.64;19.9;86;142;47.3;15.4;39;215;36;1
177;Good-B;168.5;74.9;30.1;89;139;40.6;15.8;29;188;58;1
178;Common-C;152.8;55.6;31.3;78;129;23.9;15.7;23;130;55;0
179;Common-C;158.1;57.9;31.5;61;117;24.5;13.7;59;157;25;0
180;Excellent-A;169.6;64.5;10.9;77;134;46.2;21.5;65;248;21;1
181;Excellent-A;163.8;57.5;31.7;84;127;32.9;28.8;43;164;23;0
182;Good-B;165.8;61.3;8.5;66;114;34.9;7.6;33;166;64;1
183;Good-B;187.4;84.4;18.8;82;151;50.8;16.8;49;257;21;1
184;Common-C;149.4;51.6;35.1;83;132;25.5;18.8;11;117;56;0
185;Excellent-A;167.3;61.4;16.4;68;114;38.8;19.9;67;240;22;1
186;Common-C;165.4;62;31.1;58;102;25;21.7;31;170;28;0
187;Good-B;152.7;46.9;27.5;68;126;23.5;18.5;20;152;53;0
188;Poor-D;165.7;62.7;23.2;70;123;37.7;25.5;35;237;23;1
189;Excellent-A;176.8;80.9;22.7;82;141;50.1;22.1;45;206;46;1
190;Poor-D;148.2;54.7;37.7;85;125;22.7;10.7;0;134;56;0
191;Excellent-A;172;71;18.1;69;113;48.3;28.7;52;203;44;1
192;Good-B;173.8;68.4;13.9;69;110;47.8;14.1;49;244;27;1
193;Excellent-A;166.5;71.5;26.6;99;160;47.8;24.2;47;201;45;1
194;Poor-D;164.7;73.8;36.7;81;141;35.6;9;22;135;63;1
195;Excellent-A;183.4;83.6;14.1;79;145;50.6;16;51;231;26;1
196;Good-B;170.8;72.2;24.1;80;127;47.4;16.6;60;205;32;1
197;Excellent-A;167;50.3;18.9;77;120;27.9;23.3;39;168;22;0
198;Poor-D;175;84.7;28;61;133;50.9;11.6;42;156;21;1
199;Good-B;178.9;75.5;17.2;81;138;40.8;15.4;55;213;21;1
200;Excellent-A;148;53.4;27.9;97;159;27.9;23;35;145;54;0
201;Good-B;179;82.8;15.4;67;122;58.9;19.9;56;278;21;1
202;Common-C;163.9;64.8;23.6;94;141;39.7;13.2;47;224;24;1
203;Excellent-A;178;84.66;18.9;75;129;59.2;15.1;47;196;31;1
204;Good-B;180.9;77.1;19.9;76;156;40.9;22;52;209;27;1
205;Good-B;163.8;54.2;28.4;96;151;23.6;19.4;41;155;22;0
206;Poor-D;152.6;56.4;37.6;93;136;28.9;20.2;4;125;61;0
207;Good-B;171.9;60.9;16.7;78;128;33.6;10.9;28;190;60;1
208;Excellent-A;160;50;20.6;62;106;27.4;22.6;38;178;41;0
209;Good-B;166.1;67.8;25.9;98;151;40.6;22.4;34;188;59;1
210;Common-C;174.5;71.2;21.2;92;136;40.7;13;41;203;51;1
211;Common-C;181.1;70.5;19.4;70;131;34.1;12.7;40;217;34;1
212;Excellent-A;169.2;53.2;16;66;103;30;27.1;54;202;22;0
213;Excellent-A;162.1;55.1;23.2;61;99;28.5;23.1;43;198;22;0
214;Excellent-A;161.8;47.8;17.2;66;103;25.2;21.5;47;178;23;0
215;Poor-D;152.3;55.5;37.5;81;126;16.6;16.1;37;113;27;0
216;Good-B;160.9;63.7;36.1;99;144;26.4;23.6;37;179;25;0
217;Excellent-A;149.5;38.1;17.3;66;110;16.2;23;35;167;37;0
218;Common-C;170;50.1;16.3;67;124;28.5;6.4;44;210;21;1
219;Common-C;174;67.6;15.6;82;140;39.3;5.1;38;225;31;1
220;Common-C;176.2;73.3;22.2;88;147;45;9.9;33;223;49;1
221;Common-C;182.5;81;17.8;66;115;42;9.1;44;233;27;1
222;Common-C;155.9;57;23.3;67;104;25.1;17.5;25;110;49;0
223;Common-C;156.6;55;26.6;80;124;30.1;12.5;24;149;36;0
224;Poor-D;179.2;76.3;23.8;85;126;32;8.7;36;188;33;1
225;Good-B;146.5;56.16;37.3;89;152;26.9;23.5;12;118;61;0
226;Excellent-A;166.9;70;23.7;55;102;39.1;23.8;47;186;24;0
227;Good-B;168.8;63.9;26;81;131;38.2;20.1;49;215;25;1
228;Good-B;161.4;55.9;35.2;77;128;22.4;18.1;30;152;28;0
229;Excellent-A;162.6;57.2;32.6;69;116;26.9;20.6;43;128;26;0
230;Common-C;175;68;22.6;75;123;46;2.8;33;194;62;1
231;Excellent-A;172.4;75.6;23.3;83;120;47.4;22.4;55;211;51;1
232;Good-B;180.2;103.4;24.7;70;128;67.6;16.2;46;219;26;1
233;Good-B;160.7;56.6;29.2;71;110;25.6;30.1;32;157;21;0
234;Excellent-A;149;46.7;23.2;95;157;25;28;41;186;56;0
235;Good-B;165.4;74.8;27.5;86;143;38.9;18.2;56;217;52;1
236;Good-B;169.2;64.9;35.3;68;125;29.9;22.3;39;174;21;0
237;Common-C;157.2;60.4;36.2;70;118;24.2;14.3;16;132;56;0
238;Good-B;169.9;67.1;17.9;98;149;48.8;16.3;59;228;36;1
239;Excellent-A;163.5;55.6;25.5;68;108;28.2;24.5;36;183;32;0
240;Poor-D;159.9;49.7;25.4;76;116;23.4;24.3;11;145;21;0
241;Good-B;165.8;63.9;20.7;82;123;26.9;14.2;28;160;63;1
242;Excellent-A;168;69.8;21.9;88;127;50.9;26.3;68;248;32;1
243;Good-B;175.1;75.5;13.8;71;126;44.5;11.4;66;247;28;1
244;Good-B;169.8;84.1;25;93;132;57.9;19.8;40;220;40;1
245;Good-B;158.8;56.9;27.6;60;93;21.8;20.8;37;172;26;0
246;Poor-D;156.9;49.9;35.9;67;128;12.1;1.2;20;118;56;0
247;Excellent-A;168.4;69.9;15;51;118;44;16.3;61;234;22;1
248;Poor-D;172.7;72.6;27.5;82;121;35;3.3;40;213;29;1
249;Poor-D;171.6;86.4;28.7;70;142;35.1;-2.4;12;162;61;1
250;Common-C;162.9;51.4;29.4;82;122;19.5;20.5;24;134;54;0
251;Common-C;168.8;66.4;23.8;91;143;34.3;20.2;35;186;56;1
252;Common-C;173;72.7;19.2;91;149;45.9;7.8;46;204;36;1
253;Common-C;167.5;65.66;19.1;98;154;45.3;18.3;44;241;24;1
254;Common-C;145.7;51.6;41.4;99;154;24.8;20.1;12;122;59;0
255;Common-C;158.2;47.9;30.4;75;116;21.6;10.9;26;131;23;0
256;Good-B;179.3;73.4;18;99;150;43.3;17.3;47;246;41;1
257;Common-C;169.9;61.7;22.2;85;136;38.1;14.3;37;216;35;1
258;Good-B;163.7;65.5;23.6;84;116;43.5;14.5;42;230;30;1
259;Common-C;167.8;63.8;24.3;63;117;29.1;14.8;43;170;44;0
260;Poor-D;170;74;28;83;130;37.7;6;50;193;28;1
261;Poor-D;169.5;65;20.1;60;110;38.1;16.2;40;151;22;1
262;Common-C;187.9;74.7;21.06;73;123;44.7;7.7;45;221;21;1
263;Poor-D;170;75.1;22.4;99;142;42.8;7.4;29;181;53;1
264;Excellent-A;158.4;48.9;22.7;81;128;25;21.4;41;163;21;0
265;Good-B;157.6;58.2;29.2;76;121;22.9;17.9;27;126;63;0
266;Poor-D;161.1;53;28.4;72;116;28.9;-4.4;22;143;23;0
267;Excellent-A;174.7;71.9;23.6;74;130;41.2;16.6;40;205;62;1
268;Poor-D;179.7;90;29.3;96;151;49.7;1.5;50;216;32;1
269;Common-C;172.3;71.6;15.5;65;111;47.4;6.2;47;230;38;1
270;Excellent-A;180.3;80.2;24.7;77;127;64.3;19;57;235;24;1
271;Common-C;183.3;79.4;19.8;79;136;48.9;23;48;199;23;1
272;Excellent-A;172.4;71.66;18.9;79;152;43.1;15.8;38;173;63;1
273;Excellent-A;178.8;73.38;7.8;75;126;49.6;21.5;54;223;27;1
274;Excellent-A;158.2;54.34;29.6;74;133;25.1;28.6;42;148;59;0
275;Excellent-A;166.5;53.7;25.9;84;130;27.4;18.9;40;186;36;0
276;Good-B;167.5;65.8;26;61;115;31;20.5;50;174;34;0
277;Poor-D;180.4;90.5;26.8;70;120;46.1;4.5;42;185;23;1
278;Poor-D;158.8;49.7;28.4;84;139;15.2;24.2;28;174;21;0
279;Common-C;177;89.9;18.9;80;117;56.8;12.7;54;232;24;1
280;Good-B;170;75.5;20.6;67;114;45.4;12.5;40;216;55;1
281;Excellent-A;169;68.6;12.4;80;120;45.7;20.2;55;239;43;1
282;Good-B;159.3;54;21.3;66;108;23;27.2;33;189;22;0
283;Excellent-A;173.9;69.4;17.8;88;138;43.9;14.5;46;237;46;1
284;Poor-D;176;77.5;24.7;75;114;35.6;9.3;38;200;24;1
285;Excellent-A;164;57.6;23.2;95;127;24.4;23.6;27;149;56;0
286;Poor-D;171.4;76.8;25.1;84;130;47.8;23;41;217;28;1
287;Poor-D;160.4;59.3;20.3;57;102;22.5;-5;13;150;53;0
288;Excellent-A;179.2;76.5;12.6;69;132;55.4;16.7;50;215;30;1
289;Poor-D;153;56.9;40.2;70;120;18.6;19.4;22;160;21;0
290;Common-C;162;65.3;37.6;74;133;24.7;16.5;11;125;59;0
291;Excellent-A;164.6;56.9;29.4;68;148;26.8;19.9;51;183;27;0
292;Good-B;179.9;82.2;18;97;145;54.3;20;61;241;38;1
293;Good-B;167.9;72.4;20.7;87;132;44.6;23.3;60;212;41;1
294;Good-B;168.4;60.2;34.2;82;138;25.8;16.8;32;162;21;0
295;Common-C;163.7;53.4;29.6;73;116;26.6;28;43;204;23;0
296;Common-C;166.3;47.6;25.3;73;112;23.8;10.1;42;172;21;0
297;Excellent-A;160.5;68.2;28.7;84;193;37.1;14.3;31;174;63;1
298;Common-C;182.9;72.4;12.3;80;133;52.6;11.2;45;225;22;1
299;Poor-D;170.3;52.5;16.8;95;134;30.1;16.5;25;185;28;1
300;Common-C;154;57.9;33.1;62;112;30.2;18.7;36;158;25;0
301;Common-C;176.9;90.1;21.5;79;134;46.4;9.3;45;225;39;1
302;Common-C;180.6;80;25.2;70;142;35.6;20.4;49;221;22;1
303;Excellent-A;170.2;62.9;14.7;78;134;42.8;27.8;65;240;30;1
304;Poor-D;185.2;108.9;23.1;98;143;54;27.7;52;231;30;1
305;Good-B;162.8;59.7;32.6;81;134;27.7;21.1;47;158;24;0
306;Good-B;163.8;68.5;30.9;87;145;35.5;18.8;26;182;64;1
307;Excellent-A;166;68.8;31.3;84;146;33.5;27.8;38;181;22;0
308;Poor-D;155.5;60;34.9;85;130;17;12.8;20;100;64;0
309;Good-B;170.1;67.1;16.4;68;113;35.2;15.4;51;225;26;1
310;Excellent-A;159.3;50.6;30.8;78;128;25.2;19.6;32;167;39;0
311;Good-B;165.2;67;28.4;96;143;39;13.3;38;205;50;1
312;Excellent-A;159.2;59.1;30.7;75;106;25;21.7;35;137;45;0
313;Poor-D;150.3;49.1;33.6;70;103;20.8;19.5;16;130;52;0
314;Excellent-A;184;75.7;9.2;87;130;51.5;21.8;58;230;25;1
315;Good-B;175.3;63.7;9.9;75;119;44.6;11.5;55;221;25;1
316;Good-B;177.3;82.7;23.8;83;125;49;12.1;51;197;35;1
317;Good-B;169.4;76.1;24.3;79;135;40.4;17.3;28;168;63;1
318;Excellent-A;167;71.1;20;81;140;46.9;14.6;53;228;31;1
319;Good-B;158.1;51;14;68;112;23.9;20.3;30;121;42;0
320;Common-C;158.6;46.2;17.8;62;115;22.1;19.6;21;135;25;0
321;Common-C;156.1;49.4;25.1;70;110;21.7;23.8;38;137;24;0
322;Common-C;175.1;67.5;18.3;78;118;39.4;24.9;60;163;22;1
323;Poor-D;172.9;83.3;31.5;64;133;45.2;9.2;44;174;26;1
324;Common-C;166;54.9;23.5;82;155;28.1;21.5;46;167;22;0
325;Common-C;168;58.7;23.2;86;155;32.9;17.4;38;182;46;1
326;Good-B;181.2;86;23;83;137;52.8;21.3;44;222;37;1
327;Common-C;170;84.2;13.5;93;139;42.6;23.5;51;241;28;1
328;Poor-D;176.1;74.8;24.3;96;125;35.7;-12;1;200;24;1
329;Poor-D;170;75.9;34.4;82;132;35.2;-6.6;49;202;27;1
330;Poor-D;171;74.6;25.2;83;143;42.4;8;52;213;28;1
331;Common-C;163.5;58.5;27.9;85;133;35.7;26.8;39;168;23;0
332;Common-C;170.8;68.9;19.9;78;117;43.3;7.4;52;215;39;1
333;Good-B;154.6;58.9;41.3;80;130;23.1;18.5;27;115;55;0
334;Poor-D;176.2;93.1;35.8;85;135;36.3;7.1;1;182;41;1
335;Good-B;165.8;55.78;26.7;73;124;25.4;23.9;30;152;36;0
336;Excellent-A;172.7;71.8;15.7;86;148;52.2;19.7;57;254;29;1
337;Good-B;173.1;77.6;22.8;8;122;46.4;16.7;47;216;35;1
338;Common-C;177;81.7;24.2;95;126;46.3;7.8;39;213;41;1
339;Common-C;161.8;58.7;29.6;76;124;29;10.3;44;126;23;0
340;Common-C;175.8;73.3;17.5;83;120;50.5;7.2;43;232;22;1
341;Common-C;159.5;55.2;31.5;68;103;24.4;15;16;119;52;0
342;Poor-D;175.1;81.2;26.3;87;143;40.2;24.4;36;167;63;0
343;Poor-D;159.3;56.5;19.8;82;154;34.2;-1.4;16;144;64;1
344;Good-B;175.7;81.2;22;80;117;43.7;14.3;42;199;41;1
345;Good-B;158.5;49.3;27;37;77;27.1;21;59;178;22;0
346;Poor-D;170.5;67.8;30.7;54;102;29.7;9.8;39;166;21;0
347;Poor-D;177.4;87.9;25.9;95;155;48.7;5.2;28;214;44;1
348;Excellent-A;157.3;51.1;29.1;70;118;21.6;20.5;33;164;50;0
349;Poor-D;180.8;69.26;13.6;80;120;44;1.5;53;249;26;1
350;Common-C;167;65.7;23.7;99;153;33.7;14.2;32;185;53;1
351;Good-B;185;85.8;23.6;92;129;51;17.2;55;231;29;1
352;Poor-D;177.7;87.7;28.5;82;129;40.4;12.2;44;204;47;1
353;Excellent-A;179.4;74.3;12.4;92;139;49.1;20.9;58;270;25;1
354;Excellent-A;159.1;50.4;16.6;67;115;28.7;25.7;32;162;40;0
355;Common-C;161.2;47.8;17.1;75;123;23.9;14.1;29;154;51;0
356;Excellent-A;163.3;47.7;16.1;70;122;27.9;27.6;32;185;40;0
357;Common-C;169.8;64.9;26.9;83;132;31.3;12.3;49;159;27;0
358;Poor-D;179.4;78.1;23.9;76;121;37.9;-13.1;37;217;24;1
